"color","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes","imdb_binary"
"Color",166,106,6,422,12000,32131830,72259,15015,1,788,"PG-13",1.37e+08,2001,2000,6.4,1.85,0,1
"Color",510,124,394,2000,11000,176636816,508818,19761,0,679,"PG-13",1.4e+08,2011,3000,6.9,2.35,46000,1
"Color",197,128,150,244,766,126930660,157519,2037,2,683,"PG-13",1.35e+08,1999,536,6.4,2.35,2000,1
"Color",244,138,608,168,613,93926386,168207,1205,1,684,"PG-13",1.5e+08,2003,172,7.4,2.35,0,1
"Color",322,115,386,12000,21000,292298923,185394,59177,3,329,"PG-13",1.2e+08,2012,17000,5.5,2.35,65000,0
"Color",156,100,750,988,49000,63992328,32399,62644,0,79,"PG",1.35e+08,2011,11000,5.9,2.35,0,0
"Color",354,135,255,882,3000,134518390,326286,5811,0,643,"PG-13",1.5e+08,2008,1000,6.8,2.35,0,1
"Color",252,117,14000,358,535,52792307,12572,1950,0,106,"PG",1.4e+08,2016,400,6.8,2.35,27000,1
"Color",556,156,0,733,29000,183635922,406020,57108,0,1188,"R",1.35e+08,2015,27000,8.1,2.35,190000,1
"Color",166,96,13,463,16000,83024900,62424,17416,0,90,"PG",1.35e+08,2013,881,6.5,2.35,13000,1
"Color",362,107,563,939,40000,123207194,183208,43291,0,337,"PG",1.35e+08,2011,1000,7.2,2.35,26000,1
"Color",153,92,35,179,19000,83348920,60230,19963,0,118,"PG",1.32e+08,2014,411,6.7,1.85,11000,1
"Color",329,115,521,883,13000,227137090,491077,17369,0,820,"PG-13",1.1e+08,2007,897,8.1,2.35,0,1
"Color",266,92,54,562,11000,215395021,307029,12754,0,360,"PG",1.3e+08,2008,967,7.6,2.35,6000,1
"Color",517,117,235,680,2000,180191634,313866,5730,6,549,"PG-13",1.3e+08,2015,2000,7.4,1.85,61000,1
"Color",502,146,508,523,34000,424645577,498397,49355,1,706,"PG-13",1.3e+08,2013,14000,7.6,2.35,82000,1
"Color",322,115,386,12000,21000,292298923,185394,59177,3,329,"PG-13",1.2e+08,2012,17000,5.5,2.35,65000,0
"Color",165,94,12,183,17000,177343675,70121,17883,0,214,"PG",1.35e+08,2015,523,6.7,1.85,26000,1
"Color",401,116,14000,807,10000,234277056,334345,12758,0,2741,"PG-13",1.32e+08,2005,1000,6.5,1.85,0,1
"Color",94,147,0,877,10000,138396624,178126,12954,1,511,"R",1.3e+08,2003,898,6.6,2.35,0,1
"Color",246,90,50,397,4000,149234747,114287,5046,0,137,"PG",1.3e+08,2011,442,6.7,2.35,16000,1
"Color",330,101,176,282,11000,118311368,245621,12406,1,514,"PG-13",1.1e+08,2010,702,6.4,2.35,23000,1
"Color",434,138,0,8000,12000,101160529,200022,32355,2,1240,"PG-13",1.25e+08,2014,9000,5.8,1.85,71000,0
"Color",440,107,14000,845,2000,77564037,177383,4631,1,447,"PG",1.35e+08,2011,871,7.4,2.35,44000,1
"Color",274,142,0,10000,11000,249358727,382255,33284,3,1504,"PG",1.3e+08,2004,10000,7.8,2.35,11000,1
"Color",245,165,1000,165,309,49551662,102338,921,0,450,"PG-13",1.3e+08,2008,284,6.6,2.35,0,1
"Color",349,100,0,894,10000,60522097,158720,14168,0,744,"PG-13",1.3e+08,2013,943,4.9,2.35,37000,0
"Color",145,82,0,388,1000,137748063,38438,2945,1,241,"PG",127500000,2000,558,6.5,1.85,0,1
"Color",154,98,189,1000,49000,113733726,67223,53587,7,126,"PG",1.27e+08,2014,3000,6.2,1.85,11000,1
"Color",233,95,96,8000,24000,148337537,172754,46120,3,187,"PG",1.3e+08,2010,11000,7.3,2.35,13000,1
"Color",258,159,0,645,11000,317557891,444683,13191,4,1571,"PG",1.25e+08,2001,687,7.5,2.35,16000,1
"Color",208,96,124,1000,16000,33592415,91640,31549,2,210,"PG-13",1.3e+08,2013,12000,5.6,2.35,20000,0
"Color",271,143,563,1000,40000,305388685,809474,48184,3,2113,"PG-13",1.4e+08,2003,5000,8.1,2.35,10000,1
"Color",403,123,508,14000,34000,337103873,305008,81385,1,591,"PG-13",1.25e+08,2014,22000,6.7,2.35,52000,1
"Color",294,174,2000,362,15000,217536138,314253,16008,2,1966,"PG-13",1.25e+08,2006,574,6.6,2.35,0,1
"Color",159,101,107,56,688,131536019,58498,1031,0,99,"G",1.03e+08,2014,237,6.4,2.35,0,1
"Color",289,134,0,346,20000,214948780,405973,20952,4,1055,"PG-13",1.1e+08,2003,505,7.5,2.35,0,1
"Color",342,132,681,12000,23000,209805005,284792,55345,3,366,"PG-13",1.25e+08,2011,14000,7.3,2.35,54000,1
"Color",382,129,0,154,21000,186830669,338635,22403,2,412,"PG-13",1.25e+08,2011,979,7.5,2.35,39000,1
"Color",344,106,255,850,14000,163192114,229679,18003,0,637,"PG-13",1.25e+08,2010,1000,5.8,2.35,15000,0
"Color",196,113,719,217,605,119412921,240241,1441,0,391,"R",6.5e+07,1990,308,7.5,1.85,0,1
"Color",85,102,323,241,845,32694788,101411,1815,1,546,"R",8.5e+07,1999,372,6.6,2.35,0,1
"Color",436,135,209,602,10000,113165635,229823,12175,0,504,"PG-13",1.25e+08,2012,826,6.7,2.35,31000,1
"Color",183,125,541,409,920,107285004,189855,2699,3,1018,"PG-13",1.25e+08,1997,890,3.7,1.85,0,0
"Color",175,110,2000,636,1000,260031035,141414,4146,0,482,"PG",1.23e+08,2000,722,6,1.85,0,1
"Color",239,124,776,812,15000,186739919,333248,20553,0,1159,"PG-13",1.25e+08,2004,2000,6.4,2.35,19000,1
"Color",237,123,610,653,10000,215397307,242188,11930,0,1426,"PG-13",1.25e+08,2000,794,6.1,2.35,0,1
"Color",231,130,249,461,784,182618434,133076,2684,0,779,"PG-13",1.4e+08,2000,638,6.4,2.35,0,1
"Color",262,92,167,702,11000,131920333,213275,15302,3,436,"PG",1.3e+08,2007,2000,5.6,2.35,0,0
"Color",552,127,0,341,774,124976634,440084,2121,0,755,"PG",1.2e+08,2012,358,8,1.85,122000,1
"Color",276,123,160,402,12000,115802596,182661,14017,1,681,"PG-13",1.1e+08,2007,701,5.2,2.35,0,0
